purchase_order_id	title	amount
IF00336502	QHV 30-800-015	1.00000000
IF00336502	QHV 30-800-016	1.00000000
IF00341856	QHV 30-922-033	3.00000000
IF00341856	QHV 30-970-039	3.00000000
IF00341856	QHV 30-970-038	3.00000000
IF00341856	TAG 026.700	69.00000000
IF00341856	QHV 30-135-024	3.00000000
IF00342733	PG 713	20.00000000
IF00344178	QHV 30-806-001	3.00000000
IF00346818	QHV 30-980-007	4.00000000
IF00347207	QHV 30-550-005	3.00000000
IF00350842	QHV 30-730-039	10.00000000
IF00354524	QHV 30-900-092	2.00000000
IF00362820	SED 431-1146A-AS-TB	2.00000000
IF00373145	SED 431-1126G-AS-TB	1.00000000
IF00376197	HZI 040747-K	11.00000000
IF00380727	UB 06-205800.20	4.00000000
IF00380727	QHV 30-839-002	3.00000000
IF00380727	QHV 30-350-001	2.00000000
IF00380727	QHV 30-350-003	1.00000000
IF00380727	QHV 30-350-004	2.00000000
IF00382003	TAG 027.720	2.00000000
IF00387037	QHV 30-900-029	1.00000000
IF00387037	QHV 30-922-133	1.00000000
IF00387037	UB 71-4151/4 HIS	2.00000000
IF00387037	ZEI 3050007	2.00000000
IF00387037	HJE 102514108	2.00000000
IF00387882	SED 431-1152A-AS-TB	4.00000000
IF00387882	SED 431-1152G-AS-TB	3.00000000
IF00387882	SED 431-1152G-AS-TB	3.00000000
IF00387994	1920.AK	2.00000000
IF00393017	QHV 30-350-031	2.00000000
IF00407531	IJG 502-1257	2.00000000
IF00407531	QHV 30-230-026	200.00000000
IF00407531	ZEI 3050007	1.00000000
IF00416474	U 7B51 12P659 PT	1.00000000
IF00418298	QHV 30-135-006	5.00000000
IF00418298	QHV 30-805-010	1.00000000
IF00418298	SED 431-1504A-JT	2.00000000
IF00418298	QHV 30-805-010	1.00000000
IF00418298	AJZ 623 3123 09	1.00000000
IF00418298	QHV 30-800-015	1.00000000
IF00418298	QHV 30-800-016	1.00000000
IF00325990	IJG 502-1411	1.00000000
IF00329936	EGV 7.02543.05.0	2.00000000
IF00331218	UTQX 45220	1.00000000
IF00331218	SYP US11046P3G	1.00000000
IF00331218	QHV 30-921-012	1.00000000
IF00331218	EGV 7.03738.03.0	2.00000000
IF00331218	QHV 30-310-090	6.00000000
IF00335428	UB 87-72763 HIS	4.00000000
IF00335428	HPW PC 5272 HIS	1.00000000
IF00335428	HPW ZA 4320 HIS	1.00000000
IF00335428	HPW PN 1029 HP	1.00000000
IF00336983	BE 501190 700	3.00000000
IF00337966	WII 3013048	1.00000000
IF00341044	IJG 502-1223	2.00000000
IF00341044	HZI 4H-047-K	32.00000000
IF00341044	QHV 30-145-012	10.00000000
IF00341044	QHV 30-310-103	4.00000000
IF00341044	QHV 30-127-002	3.00000000
IF00341044	AJZ 119 0024 10	1.00000000
IF00341044	QHV 30-145-015	5.00000000
IF00341044	AJZ 319 0017 16	1.00000000
IF00346204	QHV 30-720-079	1.00000000
IF00346204	QHV 30-720-133	2.00000000
IF00346204	QHV 30-720-188	1.00000000
IF00346204	QHV 30-720-143	1.00000000
